r,n,date
17018,01 03 06 09 11 12 14 02,2/17/2017
17017,02 11 14 17 18 24 27 07,2/15/2017
17016,03 06 08 09 12 18 20 28,2/13/2017
17015,08 09 21 22 23 26 28 01,2/10/2017
17014,04 05 15 16 22 26 27 19,2/8/2017
17013,02 06 19 26 27 29 30 10,2/6/2017
17012,07 08 10 12 14 19 25 03,2/3/2017
17011,21 22 23 26 27 29 30 06,1/25/2017
17010,02 04 05 13 27 29 30 01,1/23/2017
17009,02 11 12 13 15 16 22 30,1/20/2017
17008,02 04 08 22 24 26 27 23,1/18/2017
17007,08 12 18 19 26 27 30 14,1/16/2017
17006,06 10 13 15 16 25 30 08,1/13/2017
17005,12 16 17 18 21 25 28 27,1/11/2017
17004,02 17 20 21 23 24 25 07,1/9/2017
17003,04 05 08 16 23 27 30 28,1/6/2017
17002,03 07 16 19 20 22 23 27,1/4/2017
17001,01 07 10 11 12 17 25 23,1/2/2017
16154,03 06 10 12 14 21 27 09,12/30/2016
16153,04 09 11 13 20 23 30 28,12/28/2016
16152,03 07 12 18 19 28 30 05,12/26/2016
16151,06 07 14 20 22 28 29 17,12/23/2016
16150,14 15 17 20 21 22 26 30,12/21/2016
16149,02 04 05 06 08 11 29 19,12/19/2016
16148,08 13 19 22 27 28 29 30,12/16/2016
16147,01 03 05 15 21 23 24 16,12/14/2016
16146,12 15 18 22 24 25 30 17,12/12/2016
16145,05 06 08 10 15 18 30 14,12/9/2016
16144,03 12 15 17 20 24 28 25,12/7/2016
16143,01 02 09 11 19 21 25 22,12/5/2016
16142,02 10 12 18 23 28 30 05,12/2/2016
16141,01 03 05 07 17 19 24 09,11/30/2016
16140,12 14 18 21 26 28 30 22,11/28/2016
16139,02 03 08 15 19 22 23 30,11/25/2016
16138,01 04 05 11 20 25 26 13,11/23/2016
16137,03 05 13 17 19 27 28 11,11/21/2016
16136,02 04 11 22 23 26 29 25,11/18/2016
16135,05 09 13 17 20 27 28 23,11/16/2016
16134,14 15 16 17 20 22 28 26,11/14/2016
16133,07 09 11 16 17 22 28 23,11/11/2016
16132,02 04 08 10 20 27 30 14,11/9/2016
16131,02 11 14 19 24 25 27 29,11/7/2016
16130,02 07 11 12 13 14 17 16,11/4/2016
16129,01 04 10 13 15 25 30 12,11/2/2016
16128,01 04 07 08 12 13 25 20,10/31/2016
16127,04 09 12 23 25 29 30 20,10/28/2016
16126,01 06 11 18 28 29 30 20,10/26/2016
16125,01 05 11 20 25 28 29 21,10/24/2016
16124,03 04 11 13 16 19 27 18,10/21/2016
16123,03 06 23 24 26 27 30 17,10/19/2016
16122,01 09 14 16 17 19 21 13,10/17/2016
16121,04 05 09 19 22 23 30 28,10/14/2016
16120,03 04 08 13 17 19 21 29,10/12/2016
16119,04 05 06 18 22 23 29 02,10/10/2016
16118,05 07 10 11 18 24 27 23,10/7/2016
16117,02 06 08 13 15 24 25 09,10/5/2016
16116,01 10 16 20 23 25 28 30,10/3/2016
16115,03 05 11 12 22 23 29 27,9/30/2016
16114,01 04 17 18 25 27 30 13,9/28/2016
16113,03 12 13 19 21 23 26 06,9/26/2016
16112,06 07 16 22 23 26 27 01,9/23/2016
16111,10 12 16 23 25 26 28 09,9/21/2016
16110,01 05 09 20 23 26 30 07,9/19/2016
16109,02 03 13 18 21 22 27 06,9/16/2016
16108,04 05 09 14 15 17 21 12,9/14/2016
16107,06 10 16 17 18 24 30 22,9/12/2016
16106,04 06 17 25 26 27 29 15,9/9/2016
16105,12 13 24 25 26 28 29 07,9/7/2016
16104,02 07 09 18 22 26 27 19,9/5/2016
16103,02 04 10 15 20 25 30 01,9/2/2016
16102,01 03 10 19 21 23 28 09,8/31/2016
16101,01 03 09 10 16 18 23 07,8/29/2016
16100,06 09 13 14 15 19 23 18,8/26/2016
16099,02 05 08 11 13 27 29 15,8/24/2016
16098,05 07 08 09 12 15 16 10,8/22/2016
16097,04 11 21 22 24 25 30 07,8/19/2016
16096,02 07 14 18 20 21 24 23,8/17/2016
16095,12 13 14 17 18 28 30 08,8/15/2016
16094,09 11 13 14 18 20 28 01,8/12/2016
16093,01 06 07 17 19 24 26 05,8/10/2016
16092,01 03 07 11 13 18 24 08,8/8/2016
16091,01 10 12 13 14 29 30 02,8/5/2016
16090,03 04 06 08 13 17 18 16,8/3/2016
16089,02 06 10 17 18 24 25 09,8/1/2016
16088,02 08 10 13 21 24 29 16,7/29/2016
16087,01 11 18 19 22 24 28 26,7/27/2016
16086,02 06 07 08 10 25 29 27,7/25/2016
16085,05 07 09 15 19 29 30 27,7/22/2016
16084,11 14 20 21 23 27 30 17,7/20/2016
16083,04 11 13 15 18 21 25 22,7/18/2016
16082,04 05 06 08 16 17 30 10,7/15/2016
16081,04 11 14 18 21 22 29 20,7/13/2016
16080,06 07 12 14 15 16 23 01,7/11/2016
16079,02 05 08 15 17 18 26 29,7/8/2016
16078,06 11 16 21 24 25 30 23,7/6/2016
16077,02 05 10 13 14 17 30 21,7/4/2016
16076,06 08 10 13 20 29 30 07,7/1/2016
16075,01 05 13 20 21 22 23 19,6/29/2016
16074,01 03 04 10 19 21 27 15,6/27/2016
16073,06 09 18 20 23 27 29 16,6/24/2016
16072,04 05 06 08 10 11 28 30,6/22/2016
16071,07 10 13 17 24 26 30 08,6/20/2016
16070,06 11 12 19 24 27 28 17,6/17/2016
16069,01 06 07 13 15 22 26 19,6/15/2016
16068,03 05 10 12 16 19 30 20,6/13/2016
16067,05 10 12 20 24 26 28 06,6/10/2016
16066,02 05 09 12 15 18 27 30,6/8/2016
16065,02 15 18 22 23 24 30 06,6/6/2016
16064,03 08 09 10 12 19 23 15,6/3/2016
16063,02 07 08 09 14 17 28 03,6/1/2016
16062,04 05 07 13 18 20 26 28,5/30/2016
16061,05 11 16 19 24 26 28 23,5/27/2016
16060,04 06 08 17 22 24 26 14,5/25/2016
16059,01 02 07 10 14 24 25 08,5/23/2016
16058,05 12 13 14 18 20 29 08,5/20/2016
16057,12 13 17 20 22 29 30 28,5/18/2016
16056,07 09 12 19 23 25 26 17,5/16/2016
16055,03 09 12 14 16 19 24 01,5/13/2016
16054,04 06 10 15 21 22 29 11,5/11/2016
16053,01 21 24 26 27 28 30 08,5/9/2016
16052,03 04 05 08 14 16 29 12,5/6/2016
16051,04 07 14 19 25 26 30 08,5/4/2016
16050,03 10 13 15 24 25 27 12,5/2/2016
16049,04 06 07 11 21 25 27 10,4/29/2016
16048,04 09 11 12 13 14 18 19,4/27/2016
16047,01 03 09 10 14 19 20 06,4/25/2016
16046,08 10 11 13 14 21 23 12,4/22/2016
16045,07 09 20 21 22 25 28 23,4/20/2016
16044,03 09 15 16 17 18 21 05,4/18/2016
16043,02 06 11 23 26 28 29 21,4/15/2016
16042,02 06 07 08 09 10 28 12,4/13/2016
16041,03 14 16 19 23 26 27 11,4/11/2016
16040,01 12 13 18 24 26 30 14,4/8/2016
16039,03 06 10 13 16 17 30 11,4/6/2016
16038,02 10 11 18 22 25 29 04,4/4/2016
16037,04 10 19 24 27 28 29 09,4/1/2016
16036,16 18 21 24 27 28 30 10,3/30/2016
16035,04 11 14 16 17 19 21 29,3/28/2016
16034,02 07 13 14 20 23 29 10,3/25/2016
16033,02 06 10 11 13 17 24 29,3/23/2016
16032,02 12 15 16 20 23 24 18,3/21/2016
16031,04 14 19 23 24 28 29 18,3/18/2016
16030,07 16 19 21 23 29 30 10,3/16/2016
16029,01 03 05 07 15 17 25 09,3/14/2016
16028,01 02 09 15 16 24 26 21,3/11/2016
16027,02 03 06 07 08 09 28 04,3/9/2016
16026,02 06 12 17 22 25 28 05,3/7/2016
16025,03 04 06 19 21 27 30 28,3/4/2016
16024,02 07 09 17 18 22 28 29,3/2/2016
16023,01 06 13 14 25 26 28 10,2/29/2016
16022,02 09 11 13 15 18 28 06,2/26/2016
16021,01 02 03 07 08 10 14 18,2/24/2016
16020,11 12 18 19 20 23 27 26,2/22/2016
16019,04 08 10 11 19 24 25 09,2/19/2016
16018,01 05 08 10 16 23 26 18,2/17/2016
16017,03 08 14 15 19 22 27 29,2/15/2016
16016,05 07 09 11 12 23 25 28,2/5/2016
16015,05 08 09 18 21 23 27 29,2/3/2016
16014,06 08 10 13 26 28 30 19,2/1/2016
16013,03 05 06 10 17 24 30 08,1/29/2016
16012,02 03 08 21 24 25 26 13,1/27/2016
16011,05 07 10 13 21 25 27 09,1/25/2016
16010,03 07 11 12 18 29 30 10,1/22/2016
16009,05 06 17 19 20 22 24 09,1/20/2016
16008,01 03 04 11 12 20 21 02,1/18/2016
16007,01 08 18 22 26 28 29 12,1/15/2016
16006,07 09 10 12 14 19 20 13,1/13/2016
16005,02 03 04 20 21 23 26 22,1/11/2016
16004,04 07 09 13 15 21 28 29,1/8/2016
16003,01 08 12 13 21 26 28 27,1/6/2016
16002,04 06 15 18 23 25 26 12,1/4/2016
16001,16 18 20 21 22 23 24 29,1/1/2016
15153,12 18 19 22 23 25 30 14,12/30/2015
15152,04 10 15 20 23 26 29 27,12/28/2015
15151,04 06 11 15 16 17 25 01,12/25/2015
15150,02 06 17 21 24 29 30 28,12/23/2015
15149,08 09 10 12 24 26 29 13,12/21/2015
15148,09 10 11 13 18 23 28 20,12/18/2015
15147,03 05 06 09 18 27 28 11,12/16/2015
15146,04 11 18 22 23 25 28 10,12/14/2015
15145,04 06 12 16 17 19 25 22,12/11/2015
15144,01 04 06 08 15 18 23 13,12/9/2015
15143,01 05 09 15 16 25 26 21,12/7/2015
15142,01 07 08 09 18 19 25 15,12/4/2015
15141,05 07 08 20 23 24 27 03,12/2/2015
15140,05 06 07 15 21 26 28 29,11/30/2015
15139,01 04 06 17 20 25 30 03,11/27/2015
15138,01 07 15 22 25 26 27 23,11/25/2015
15137,02 04 09 12 15 17 18 06,11/23/2015
15136,05 06 11 14 22 23 25 04,11/20/2015
15135,01 13 20 23 24 27 29 15,11/18/2015
15134,11 15 19 20 25 27 29 08,11/16/2015
15133,03 04 08 09 12 19 28 18,11/13/2015
15132,01 02 06 07 18 19 30 08,11/11/2015
15131,01 05 08 11 20 23 30 03,11/9/2015
15130,04 05 09 12 13 18 24 29,11/6/2015
15129,01 06 07 09 14 15 22 23,11/4/2015
15128,03 13 14 20 25 28 29 08,11/2/2015
15127,02 10 11 14 18 20 22 26,10/30/2015
15126,06 08 11 18 21 27 29 26,10/28/2015
15125,02 03 15 20 21 25 27 24,10/26/2015
15124,04 05 06 13 20 23 27 12,10/23/2015
15123,06 23 24 25 26 28 30 18,10/21/2015
15122,01 08 09 13 14 24 29 07,10/19/2015
15121,11 21 23 24 25 26 29 28,10/16/2015
15120,02 04 06 14 17 23 30 24,10/14/2015
15119,05 10 13 22 26 28 30 14,10/12/2015
15118,02 03 07 15 24 27 29 01,10/9/2015
15117,01 11 13 16 19 23 25 22,10/7/2015
15116,04 05 08 15 17 20 24 03,10/5/2015
15115,11 16 17 18 20 26 29 04,10/2/2015
15114,03 04 08 16 20 28 29 21,9/30/2015
15113,05 12 14 19 21 28 29 23,9/28/2015
15112,04 05 10 22 23 28 29 02,9/25/2015
15111,06 08 11 13 15 19 26 03,9/23/2015
15110,02 04 05 06 08 11 12 07,9/21/2015
15109,01 06 13 17 18 21 27 16,9/18/2015
15108,06 07 08 12 22 24 29 25,9/16/2015
15107,03 06 07 10 13 24 25 01,9/14/2015
15106,01 02 14 17 20 23 29 28,9/11/2015
15105,08 14 15 20 21 23 27 28,9/9/2015
15104,04 05 12 16 20 23 24 01,9/7/2015
15103,03 06 20 22 26 27 29 02,9/4/2015
15102,02 05 08 10 18 26 27 04,9/2/2015
15101,07 12 16 18 22 23 29 06,8/31/2015
15100,03 06 07 12 19 22 29 18,8/28/2015
15099,01 03 08 09 18 23 24 17,8/26/2015
15098,03 05 11 20 22 23 24 28,8/24/2015
15097,02 04 14 16 18 27 28 09,8/21/2015
15096,01 07 11 12 17 19 25 13,8/19/2015
15095,01 02 10 13 21 26 27 09,8/17/2015
15094,01 04 06 16 19 23 26 22,8/14/2015
15093,03 07 09 14 15 19 24 25,8/12/2015
15092,03 05 06 15 16 17 30 08,8/10/2015
15091,08 10 15 16 17 22 24 07,8/7/2015
15090,06 13 17 18 23 24 27 12,8/5/2015
15089,03 22 23 24 27 28 30 19,8/3/2015
15088,01 08 14 15 18 19 22 26,7/31/2015
15087,03 04 09 16 24 26 30 21,7/29/2015
15086,04 05 06 08 16 19 25 28,7/27/2015
15085,01 03 04 11 13 16 21 28,7/24/2015
15084,02 08 15 17 22 27 30 28,7/22/2015
15083,07 10 12 19 24 25 28 26,7/20/2015
15082,03 05 07 14 17 23 30 13,7/17/2015
15081,06 11 13 18 25 27 28 21,7/15/2015
15080,01 11 14 16 26 27 30 09,7/13/2015
15079,04 09 16 18 20 21 26 01,7/10/2015
15078,01 09 14 16 17 19 28 13,7/8/2015
15077,03 06 07 09 17 20 28 29,7/6/2015
15076,03 10 14 19 20 23 28 25,7/3/2015
15075,04 12 13 18 19 20 30 22,7/1/2015
15074,01 08 09 16 18 21 28 26,6/29/2015
15073,06 07 13 20 24 25 30 03,6/26/2015
15072,04 10 12 13 23 26 27 30,6/24/2015
15071,01 02 13 20 21 23 29 12,6/22/2015
15070,01 02 05 10 15 25 28 27,6/19/2015
15069,03 07 13 15 17 28 30 08,6/17/2015
15068,01 04 05 10 15 19 30 28,6/15/2015
15067,03 05 12 20 21 26 28 29,6/12/2015
15066,01 06 07 09 15 16 28 12,6/10/2015
15065,02 04 05 06 15 19 24 09,6/8/2015
15064,02 08 15 18 25 27 30 21,6/5/2015
15063,02 05 11 12 15 17 24 03,6/3/2015
15062,03 08 09 11 15 19 30 12,6/1/2015
15061,04 06 07 16 18 23 25 15,5/29/2015
15060,03 04 14 16 24 27 29 25,5/27/2015
15059,02 04 06 20 26 29 30 03,5/25/2015
15058,07 08 12 21 26 29 30 09,5/22/2015
15057,04 08 10 15 20 22 27 28,5/20/2015
15056,05 08 19 24 26 28 30 25,5/18/2015
15055,02 03 05 17 21 25 26 09,5/15/2015
15054,01 07 09 10 12 23 25 18,5/13/2015
15053,04 07 09 14 18 21 28 13,5/11/2015
15052,02 04 05 13 19 21 27 09,5/8/2015
15051,02 10 11 13 22 24 27 19,5/6/2015
15050,04 07 09 17 26 29 30 27,5/4/2015
15049,05 10 13 15 16 25 26 28,5/1/2015
15048,01 02 10 12 20 22 29 14,4/29/2015
15047,03 07 10 11 15 24 30 06,4/27/2015
15046,01 04 13 17 19 21 23 14,4/24/2015
15045,12 14 18 21 22 28 29 30,4/22/2015
15044,02 06 10 18 19 26 29 16,4/19/2015
15043,01 02 06 13 14 15 21 12,4/17/2015
15042,02 07 14 16 17 20 22 18,4/15/2015
15041,02 04 09 12 13 14 30 23,4/13/2015
15040,01 02 08 13 16 17 26 27,4/10/2015
15039,04 05 17 20 22 23 27 14,4/8/2015
15038,03 10 14 22 23 24 27 17,4/6/2015
15037,09 13 16 19 25 26 29 20,4/3/2015
15036,05 06 11 13 22 28 30 07,4/1/2015
15035,04 05 07 08 10 22 26 29,3/30/2015
15034,08 14 16 17 27 28 30 29,3/27/2015
15033,03 12 13 15 18 21 26 09,3/25/2015
15032,02 03 04 06 10 19 27 08,3/23/2015
15031,01 09 15 24 25 26 30 06,3/20/2015
15030,03 05 14 15 23 24 27 11,3/18/2015
15029,04 09 12 14 19 20 22 03,3/16/2015
15028,06 19 21 22 23 27 29 05,3/13/2015
15027,02 03 05 12 18 19 27 21,3/11/2015
15026,09 12 13 15 20 22 23 29,3/9/2015
15025,03 09 10 15 17 21 24 18,3/6/2015
15024,08 10 19 23 24 26 29 12,3/4/2015
15023,03 05 10 17 20 23 25 19,3/2/2015
15022,07 12 14 17 18 23 26 05,2/27/2015
15021,07 09 10 11 13 22 23 16,2/25/2015
15020,03 06 07 11 25 29 30 17,2/16/2015
15019,04 07 11 13 24 26 29 08,2/13/2015
15018,02 04 08 12 15 19 28 14,2/11/2015
15017,02 04 11 19 21 23 26 30,2/9/2015
15016,03 08 09 14 27 29 30 24,2/6/2015
15015,06 08 11 20 22 25 27 30,2/4/2015
15014,01 11 16 23 26 27 30 19,2/2/2015
15013,05 15 20 21 22 24 25 28,1/30/2015
15012,02 05 06 11 16 18 23 12,1/28/2015
15011,01 03 04 09 14 19 25 06,1/26/2015
15010,05 09 15 21 26 27 30 17,1/23/2015
15009,02 06 07 11 19 23 30 04,1/21/2015
15008,03 04 06 11 17 23 25 28,1/19/2015
15007,03 04 05 11 16 18 23 17,1/16/2015
15006,07 10 13 18 21 27 28 05,1/14/2015
15005,08 14 18 23 25 28 29 03,1/12/2015
15004,08 10 12 13 18 22 24 20,1/9/2015
15003,06 07 11 13 17 19 30 20,1/7/2015
15002,02 03 10 18 25 27 30 24,1/5/2015
15001,09 12 18 20 21 22 27 06,1/2/2015
14154,03 08 09 19 22 26 28 15,12/31/2014
14153,06 07 09 17 18 20 29 15,12/29/2014
14152,01 04 08 11 25 27 29 20,12/26/2014
14151,03 04 16 17 24 25 30 01,12/24/2014
14150,05 07 09 10 13 14 20 27,12/22/2014
14149,03 15 18 20 24 27 30 25,12/19/2014
14148,03 07 12 14 16 22 24 21,12/17/2014
14147,05 09 10 15 27 28 30 21,12/15/2014
14146,06 08 10 15 23 28 29 24,12/12/2014
14145,04 09 17 26 27 28 29 14,12/10/2014
14144,03 09 10 16 25 27 30 21,12/8/2014
14143,12 16 17 19 20 25 29 01,12/5/2014
14142,07 12 19 20 21 24 26 18,12/3/2014
14141,04 05 12 19 22 24 29 15,12/1/2014
14140,10 12 19 21 24 26 28 23,11/28/2014
14139,02 05 10 21 23 24 25 04,11/26/2014
14138,06 08 15 17 18 21 22 20,11/24/2014
14137,02 04 05 06 07 11 12 19,11/21/2014
14136,02 14 16 19 25 27 29 07,11/19/2014
14135,05 11 16 19 20 22 23 06,11/17/2014
14134,05 12 18 20 21 23 30 01,11/14/2014
14133,03 04 09 10 12 16 22 11,11/12/2014
14132,03 04 06 09 12 22 30 25,11/10/2014
14131,06 08 10 22 23 24 26 21,11/7/2014
14130,03 06 10 15 17 19 25 29,11/5/2014
14129,02 04 06 08 09 10 11 21,11/3/2014
14128,02 03 08 10 24 27 28 01,10/31/2014
14127,05 07 10 18 19 21 27 28,10/29/2014
14126,02 10 11 18 19 21 25 26,10/27/2014
14125,01 09 20 21 22 23 29 15,10/24/2014
14124,01 14 21 23 24 26 28 05,10/22/2014
14123,06 10 11 19 23 24 28 14,10/20/2014
14122,01 04 06 12 17 27 29 16,10/17/2014
14121,02 08 10 21 22 27 29 12,10/15/2014
14120,02 05 16 17 19 21 25 29,10/13/2014
14119,01 06 07 10 15 16 20 09,10/10/2014
14118,07 15 18 21 25 29 30 12,10/8/2014
14117,05 09 11 12 14 19 28 22,10/6/2014
14116,01 06 08 10 19 21 27 14,10/3/2014
14115,06 18 19 20 25 26 27 11,10/1/2014
14114,02 11 16 17 21 23 29 03,9/29/2014
14113,08 09 11 13 17 23 29 24,9/26/2014
14112,02 04 08 12 15 18 27 03,9/24/2014
14111,03 05 08 16 21 29 30 22,9/22/2014
14110,04 05 11 13 18 21 23 10,9/19/2014
14109,01 03 08 09 15 23 28 25,9/17/2014
14108,01 08 13 20 25 28 29 03,9/15/2014
14107,03 05 07 09 15 18 25 29,9/12/2014
14106,12 15 16 20 22 29 30 27,9/10/2014
14105,01 05 11 12 20 21 22 25,9/8/2014
14104,05 06 09 11 12 13 19 20,9/5/2014
14103,06 17 19 21 22 26 28 10,9/3/2014
14102,01 09 14 15 16 17 18 21,9/1/2014
14101,03 05 09 14 15 25 29 11,8/29/2014
14100,02 09 11 19 20 24 25 26,8/27/2014
14099,04 10 11 17 23 25 30 19,8/25/2014
14098,01 04 11 15 16 22 28 25,8/22/2014
14097,02 06 08 14 19 20 26 04,8/20/2014
14096,08 09 16 19 20 21 23 30,8/18/2014
14095,02 04 05 06 08 16 27 22,8/15/2014
14094,05 06 08 14 17 21 25 23,8/13/2014
14093,05 08 09 13 15 18 24 02,8/11/2014
14092,01 02 03 09 21 24 28 07,8/8/2014
14091,05 06 07 20 21 24 28 18,8/6/2014
14090,06 10 14 16 22 25 30 29,8/4/2014
14089,06 09 12 23 24 25 26 27,8/1/2014
14088,06 11 14 18 19 20 30 16,7/30/2014
14087,09 13 16 18 24 28 30 25,7/28/2014
14086,02 03 04 10 21 29 30 19,7/25/2014
14085,02 05 07 10 19 26 28 22,7/23/2014
14084,10 13 17 18 24 25 27 06,7/21/2014
14083,13 14 16 20 21 25 28 08,7/18/2014
14082,03 07 09 10 12 18 27 05,7/16/2014
14081,01 11 14 19 21 24 29 16,7/14/2014
14080,01 04 17 24 26 27 28 07,7/11/2014
14079,08 09 14 16 18 24 25 10,7/9/2014
14078,02 13 17 20 23 26 27 28,7/7/2014
14077,14 16 17 19 22 27 30 25,7/4/2014
14076,07 14 16 22 24 26 28 09,7/2/2014
14075,02 11 14 17 24 25 28 21,6/30/2014
14074,02 03 06 08 19 20 27 23,6/27/2014
14073,03 05 06 08 09 21 23 14,6/25/2014
14072,01 03 04 08 09 17 21 19,6/23/2014
14071,06 08 11 16 17 18 22 27,6/20/2014
14070,04 11 14 22 23 25 27 12,6/18/2014
14069,01 09 11 17 19 22 26 21,6/16/2014
14068,02 09 10 13 15 21 30 05,6/13/2014
14067,06 18 22 23 25 26 27 04,6/11/2014
14066,03 10 16 20 21 27 28 12,6/9/2014
14065,08 10 11 25 27 29 30 13,6/6/2014
14064,06 07 08 10 14 22 26 21,6/4/2014
14063,02 09 11 12 14 27 28 13,6/2/2014
14062,01 04 14 15 20 28 30 27,5/30/2014
14061,06 08 11 19 20 22 26 21,5/28/2014
14060,01 04 11 18 23 25 30 02,5/26/2014
14059,03 14 15 16 25 26 27 05,5/23/2014
14058,05 09 10 15 23 29 30 20,5/21/2014
14057,05 08 11 13 21 24 27 30,5/19/2014
14056,01 07 17 19 22 24 30 02,5/16/2014
14055,02 05 14 16 21 23 30 03,5/14/2014
14054,03 07 18 19 23 25 26 04,5/12/2014
14053,08 17 20 23 24 28 29 12,5/9/2014
14052,05 13 17 20 21 24 26 22,5/7/2014
14051,04 06 08 10 13 15 21 29,5/5/2014
14050,04 07 12 17 22 24 25 21,5/2/2014
14049,04 05 07 11 12 16 21 29,4/30/2014
14048,01 03 08 16 23 27 28 18,4/28/2014
14047,04 11 12 13 18 22 30 02,4/25/2014
14046,03 08 10 11 14 20 22 28,4/23/2014
14045,03 09 12 13 14 21 22 16,4/21/2014
14044,01 02 08 09 14 17 30 27,4/18/2014
14043,02 03 08 11 19 22 23 04,4/16/2014
14042,03 06 11 19 20 23 27 13,4/14/2014
14041,08 14 15 16 18 19 26 28,4/11/2014
14040,01 09 16 19 25 28 30 11,4/9/2014
14039,04 06 08 16 24 25 28 30,4/7/2014
14038,02 04 05 10 13 21 30 14,4/4/2014
14037,03 04 08 11 21 26 28 22,4/2/2014
14036,03 12 14 19 23 24 29 17,3/31/2014
14035,02 09 13 16 25 29 30 18,3/28/2014
14034,04 15 17 18 22 28 29 08,3/26/2014
14033,04 05 06 10 13 18 28 09,3/24/2014
14032,01 12 13 15 25 28 30 04,3/21/2014
14031,04 07 10 15 17 22 25 29,3/19/2014
14030,03 07 10 19 23 26 30 22,3/17/2014
14029,05 06 14 24 25 27 29 04,3/14/2014
14028,08 12 14 18 20 22 29 19,3/12/2014
14027,01 08 10 13 20 26 29 09,3/10/2014
14026,06 13 15 18 19 20 27 11,3/7/2014
14025,01 02 05 10 12 18 28 25,3/5/2014
14024,09 10 15 18 19 23 30 26,3/3/2014
14023,02 05 06 18 24 27 28 11,2/28/2014
14022,03 07 08 11 12 15 18 22,2/26/2014
14021,01 02 07 14 24 25 28 05,2/24/2014
14020,01 03 09 13 17 20 26 19,2/21/2014
14019,04 05 06 17 18 22 28 01,2/19/2014
14018,01 06 08 12 25 27 28 23,2/17/2014
14017,01 11 12 15 24 28 30 07,2/14/2014
14016,04 06 07 12 18 19 30 11,2/12/2014
14015,02 05 15 19 20 23 26 10,2/10/2014
14014,02 08 21 26 27 28 30 15,2/7/2014
14013,05 06 09 16 19 21 30 18,1/29/2014
14012,06 08 15 19 24 26 29 27,1/27/2014
14011,01 03 10 17 22 29 30 25,1/24/2014
14010,01 07 16 19 21 23 27 10,1/22/2014
14009,01 09 17 18 21 22 25 13,1/20/2014
14008,02 06 10 14 22 27 30 23,1/17/2014
14007,01 02 03 04 07 08 11 16,1/15/2014
14006,06 07 09 10 25 26 28 22,1/13/2014
14005,05 12 13 21 24 27 28 15,1/10/2014
14004,07 13 16 19 23 24 27 04,1/8/2014
14003,03 11 14 16 19 24 27 09,1/6/2014
14002,01 07 11 16 18 21 28 12,1/3/2014
14001,03 04 09 18 19 20 27 16,1/1/2014
13153,05 19 20 22 26 28 30 02,12/30/2013
13152,01 04 06 11 14 16 24 03,12/27/2013
13151,12 16 23 25 27 28 29 30,12/25/2013
13150,03 07 10 13 15 25 30 20,12/23/2013
13149,01 05 07 11 18 22 25 26,12/20/2013
13148,02 13 14 20 22 25 28 16,12/18/2013
13147,03 06 10 12 13 15 29 24,12/16/2013
13146,01 02 06 07 08 11 20 26,12/13/2013
13145,02 07 09 15 19 21 28 01,12/11/2013
13144,04 09 15 17 25 28 30 21,12/9/2013
13143,01 11 16 17 18 24 27 07,12/6/2013
13142,01 02 04 21 22 23 25 05,12/4/2013
13141,06 09 11 12 14 16 24 03,12/2/2013
13140,04 06 07 15 23 26 27 10,11/29/2013
13139,02 05 07 12 15 21 24 27,11/27/2013
13138,07 09 13 16 17 26 28 05,11/25/2013
13137,05 07 12 21 27 28 30 16,11/22/2013
13136,03 05 07 10 14 29 30 16,11/20/2013
13135,01 03 05 07 19 21 24 22,11/18/2013
13134,01 07 08 09 10 26 29 24,11/15/2013
13133,05 07 10 22 23 24 27 30,11/13/2013
13132,09 12 16 17 19 23 28 10,11/11/2013
13131,11 12 15 16 24 25 30 10,11/8/2013
13130,08 09 12 15 18 21 28 16,11/6/2013
13129,04 06 09 11 14 17 27 30,11/4/2013
13128,07 10 17 24 27 28 29 14,11/1/2013
13127,02 07 10 11 22 24 27 25,10/30/2013
13126,04 09 13 17 21 24 28 25,10/28/2013
13125,01 04 23 25 27 28 29 03,10/25/2013
13124,02 07 09 13 14 24 28 23,10/23/2013
13123,02 06 07 09 11 14 29 18,10/21/2013
13122,08 09 15 16 20 21 24 10,10/18/2013
13121,01 03 06 11 13 16 28 21,10/16/2013
13120,01 04 09 13 16 19 27 08,10/14/2013
13119,05 10 18 21 26 28 29 11,10/11/2013
13118,03 10 11 12 16 19 30 17,10/9/2013
13117,02 03 05 16 17 19 25 12,10/7/2013
13116,06 07 10 13 16 25 27 23,10/4/2013
13115,02 06 07 12 13 16 17 22,10/2/2013
13114,05 06 08 09 10 12 24 29,9/30/2013
13113,06 10 13 16 25 26 29 21,9/27/2013
13112,01 03 07 24 26 27 29 13,9/25/2013
13111,01 02 08 18 19 21 29 26,9/23/2013
13110,03 05 08 15 16 17 27 09,9/20/2013
13109,03 04 05 12 14 24 28 01,9/18/2013
13108,01 08 12 15 24 25 26 04,9/16/2013
13107,06 12 13 18 23 25 30 22,9/13/2013
13106,09 17 18 19 26 29 30 25,9/11/2013
13105,02 07 08 09 12 21 24 04,9/9/2013
13104,01 03 08 09 12 15 17 07,9/6/2013
13103,07 09 12 13 16 20 21 05,9/4/2013
13102,02 08 09 13 14 19 25 28,9/2/2013
13101,06 10 17 18 19 24 29 21,8/30/2013
13100,02 09 11 12 22 26 29 07,8/28/2013
13099,01 02 12 20 22 26 30 10,8/26/2013
13098,07 08 09 11 14 23 28 05,8/23/2013
13097,10 11 14 16 18 21 23 22,8/21/2013
13096,09 15 16 19 20 24 26 10,8/19/2013
13095,01 07 08 14 26 27 30 10,8/16/2013
